name	condition	Genotype
KO1_6_NPCs_Rep1_R1_bismark_bt2_pe.Cast.CpG_report.txt	KO	Cast
KO1_6_NPCs_Rep1_R1_bismark_bt2_pe.Svj.CpG_report.txt	KO	Svj
KO1_6_NPCs_Rep2_R1_bismark_bt2_pe.Cast.CpG_report.txt	KO	Cast
KO1_6_NPCs_Rep2_R1_bismark_bt2_pe.Svj.CpG_report.txt	KO	Svj
KO2_16_NPCs_Rep1_R1_bismark_bt2_pe.Cast.CpG_report.txt	KO	Cast
KO2_16_NPCs_Rep1_R1_bismark_bt2_pe.Svj.CpG_report.txt	KO	Svj
KO2_16_NPCs_Rep2_R1_bismark_bt2_pe.Cast.CpG_report.txt	KO	Cast
KO2_16_NPCs_Rep2_R1_bismark_bt2_pe.Svj.CpG_report.txt	KO	Svj
WT_G4_NPCs_Rep1_R1_bismark_bt2_pe.Cast.CpG_report.txt	WT	Cast
WT_G4_NPCs_Rep1_R1_bismark_bt2_pe.Svj.CpG_report.txt	WT	Svj
WT_G4_NPCs_Rep2_R1_bismark_bt2_pe.Cast.CpG_report.txt	WT	Cast
WT_G4_NPCs_Rep2_R1_bismark_bt2_pe.Svj.CpG_report.txt	WT	Svj
WT_G4_NPCs_Rep3_R1_bismark_bt2_pe.Cast.CpG_report.txt	WT	Cast
WT_G4_NPCs_Rep3_R1_bismark_bt2_pe.Svj.CpG_report.txt	WT	Svj
WT_G4_NPCs_Rep4_R1_bismark_bt2_pe.Cast.CpG_report.txt	WT	Cast
WT_G4_NPCs_Rep4_R1_bismark_bt2_pe.Svj.CpG_report.txt	WT	Svj
